Id,Id2,Geography,medhval
8600000US906HH,906HH,"906HH 5-Digit ZCTA, 906 3-Digit ZCTA",0
8600000US90701,90701,"90701 5-Digit ZCTA, 907 3-Digit ZCTA",192300
8600000US90703,90703,"90703 5-Digit ZCTA, 907 3-Digit ZCTA",280500
8600000US90704,90704,"90704 5-Digit ZCTA, 907 3-Digit ZCTA",388100
8600000US90706,90706,"90706 5-Digit ZCTA, 907 3-Digit ZCTA",179800
8600000US90710,90710,"90710 5-Digit ZCTA, 907 3-Digit ZCTA",232400
8600000US90712,90712,"90712 5-Digit ZCTA, 907 3-Digit ZCTA",202000
8600000US90713,90713,"90713 5-Digit ZCTA, 907 3-Digit ZCTA",210700
8600000US90715,90715,"90715 5-Digit ZCTA, 907 3-Digit ZCTA",182700
8600000US90716,90716,"90716 5-Digit ZCTA, 907 3-Digit ZCTA",140300
8600000US90717,90717,"90717 5-Digit ZCTA, 907 3-Digit ZCTA",261500
8600000US90720,90720,"90720 5-Digit ZCTA, 907 3-Digit ZCTA",371100
8600000US90723,90723,"90723 5-Digit ZCTA, 907 3-Digit ZCTA",154300
8600000US90731,90731,"90731 5-Digit ZCTA, 907 3-Digit ZCTA",238900
8600000US90732,90732,"90732 5-Digit ZCTA, 907 3-Digit ZCTA",299100
8600000US90740,90740,"90740 5-Digit ZCTA, 907 3-Digit ZCTA",358400
8600000US90742,90742,"90742 5-Digit ZCTA, 907 3-Digit ZCTA",524500
8600000US90743,90743,"90743 5-Digit ZCTA, 907 3-Digit ZCTA",
8600000US90744,90744,"90744 5-Digit ZCTA, 907 3-Digit ZCTA",160400
8600000US90745,90745,"90745 5-Digit ZCTA, 907 3-Digit ZCTA",177700
8600000US90746,90746,"90746 5-Digit ZCTA, 907 3-Digit ZCTA",197600
8600000US907HH,907HH,"907HH 5-Digit ZCTA, 907 3-Digit ZCTA",0
8600000US907XX,907XX,"907XX 5-Digit ZCTA, 907 3-Digit ZCTA",0
8600000US90802,90802,"90802 5-Digit ZCTA, 908 3-Digit ZCTA",144700
8600000US90803,90803,"90803 5-Digit ZCTA, 908 3-Digit ZCTA",432400
8600000US90804,90804,"90804 5-Digit ZCTA, 908 3-Digit ZCTA",174700
8600000US90805,90805,"90805 5-Digit ZCTA, 908 3-Digit ZCTA",147400
8600000US90806,90806,"90806 5-Digit ZCTA, 908 3-Digit ZCTA",171000
8600000US90807,90807,"90807 5-Digit ZCTA, 908 3-Digit ZCTA",234800
8600000US90808,90808,"90808 5-Digit ZCTA, 908 3-Digit ZCTA",235100
8600000US90810,90810,"90810 5-Digit ZCTA, 908 3-Digit ZCTA",148000
8600000US90813,90813,"90813 5-Digit ZCTA, 908 3-Digit ZCTA",137700
8600000US90814,90814,"90814 5-Digit ZCTA, 908 3-Digit ZCTA",323400
8600000US90815,90815,"90815 5-Digit ZCTA, 908 3-Digit ZCTA",242500
8600000US90822,90822,"90822 5-Digit ZCTA, 908 3-Digit ZCTA",0
8600000US908HH,908HH,"908HH 5-Digit ZCTA, 908 3-Digit ZCTA",0
8600000US91001,91001,"91001 5-Digit ZCTA, 910 3-Digit ZCTA",258000
8600000US91006,91006,"91006 5-Digit ZCTA, 910 3-Digit ZCTA",337200
8600000US91007,91007,"91007 5-Digit ZCTA, 910 3-Digit ZCTA",384100
8600000US91010,91010,"91010 5-Digit ZCTA, 910 3-Digit ZCTA",170200
8600000US91011,91011,"91011 5-Digit ZCTA, 910 3-Digit ZCTA",583500
8600000US91016,91016,"91016 5-Digit ZCTA, 910 3-Digit ZCTA",224800
8600000US91020,91020,"91020 5-Digit ZCTA, 910 3-Digit ZCTA",248700
