"AREAKEY","GEO2000","TCH70_00","PCTCOV70","STATECD","STATECE","STUSAB","COUNCD","UCOUNTY","TRCTCD1","TRCTCD2","REGION","DIVIS","SHRNHW9","SHRNHB9","SHRNHI9","SHRNHA9","SHRNHO9","SHRHSP9","FFH9","EDUC169","EDUCPP9","UNEMPRT9","WELFARE9","MDFAMY9","AVHHIN9","MDVALHS9","SHRNHW0","SHRNHB0","SHRNHI0","SHRNHA0","SHRNHO0","SHRHSP0","FFH0","EDUC160","EDUCPP0","UNEMPRT0","WELFARE0","MDFAMY0","AVHHIN0","MDVALHS0"
"06037219020","06037219020","1","100.00","06","93","CA","037","06037","2190","20","4","9","0.02096027","0.62539605","0.000000","0.059712","0.018036","0.27613941","0.45172414","204","2371","0.13524804","0.23871461","16515","28665.355011","74743","0.001376","0.467217","0.000000","0.013526","0.002522","0.515360","0.301587","248","2425","0.111823","0.189815","33496","39361.188272","153800"
"06037219300","06037219300","0","100.00","06","93","CA","037","06037","2193","","4","9","0.00556695","0.49780252","0.000000","0.134486","0.004981","0.35716379","0.42411642","241","2179","0.11063307","0.18126888","25729","24871.420695","122200","0.014617","0.473201","0.000000","0.069361","0.003153","0.439668","0.451311","209","2060","0.146159","0.251696","28456","36851.394122","143400"
"06037219500","06037219500","0","100.00","06","93","CA","037","06037","2195","","4","9","0.02774566","0.56647399","0.009827","0.368208","0.000000","0.02774566","0.26495726","232","1365","0.00883002","0.06713287","47250","43701.201399","163200","0.012465","0.601700","0.006232","0.271955","0.005099","0.102550","0.387879","272","1301","0.043709","0.140351","60446","61777.058030","183500"
"06037219700","06037219700","0","100.00","06","93","CA","037","06037","2197","","4","9","0.01007475","0.60383490","0.000000","0.073773","0.000000","0.31231719","0.26899384","183","1795","0.14194577","0.19005848","30062","26631.519493","115800","0.019987","0.401676","0.000000","0.037073","0.000000","0.541264","0.320513","181","1859","0.101773","0.179245","34375","41486.582809","147800"
"06037219800","06037219800","0","100.00","06","93","CA","037","06037","2198","","4","9","0.01709591","0.46025755","0.000000","0.007771","0.005773","0.50910302","0.34770115","123","2419","0.11562500","0.17476432","21109","24640.078318","138400","0.035543","0.279323","0.002718","0.005227","0.002300","0.674890","0.306317","128","2503","0.125579","0.176678","28371","34106.289753","142800"
"06037219900","06037219900","4","100.00","06","93","CA","037","06037","2199","","4","9","0.01702128","0.46995745","0.000000","0.024170","0.006298","0.48255319","0.32075472","152","3122","0.13085146","0.13791114","22489","26488.771495","121400","0.020374","0.308829","0.001188","0.004924","0.001019","0.663667","0.294307","232","3164","0.068109","0.179612","27630","33163.410194","135600"
"06037220000","06037220000","2","100.00","06","93","CA","037","06037","2200","","4","9","0.01671482","0.69397441","0.007429","0.039001","0.003921","0.23895997","0.38280166","393","3124","0.10580819","0.15000000","29673","28898.803093","121800","0.026734","0.539907","0.000000","0.034870","0.007361","0.391127","0.371429","272","3053","0.100339","0.138551","35852","37193.759915","153100"
"06037220100","06037220100","4","100.00","06","93","CA","037","06037","2201","","4","9","0.05889101","0.69904398","0.000000","0.081836","0.006883","0.15334608","0.52818991","344","1748","0.09054163","0.16374871","38866","36631.735324","189900","0.020482","0.664257","0.000000","0.082731","0.000000","0.232530","0.522472","403","1671","0.123720","0.176991","41786","46944.444444","214200"
"06037221110","06037221110","3","100.00","06","93","CA","037","06037","2211","10","4","9","0.01779274","0.02308247","0.000000","0.051214","0.010820","0.89685020","0.22347267","111","2226","0.16081871","0.16062684","9254","21390.581783","69686","0.031022","0.013556","0.009645","0.042492","0.000000","0.903285","0.363799","102","2139","0.199432","0.176360","18516","26778.330206","187500"
"06037221120","06037221120","3","100.00","06","93","CA","037","06037","2211","20","4","9","0.01785183","0.02320738","0.000000","0.051473","0.011009","0.89675692","0.22465209","89","1799","0.16103739","0.16000000","7479","21392.984242","56314","0.018463","0.015485","0.001787","0.000596","0.000000","0.963669","0.244275","83","1758","0.113914","0.281529","23271","34589.808917","154700"
