bid,selname
1225,ANDLY DEVELOPMENT CO
1225,"ANDLY,DEVELOPMEN"
1225,ANDLEY DEV CO
1324,FAIRLAWN DEVELOPMENT CO
1324,FAIRLAWN DEV CO
1324,FAIRLAWN DEVELEOPMEN CO
1324,FAIRLAND DEVELOPMENT CO
1324,FAIRLAWN DEVELOPMENT COMPANY
1348,AHMANSON DEV INC
1348,AHAMANSON DEV
1348,AHMANSON DEV CO
1348,AHAMANSON DEV IN
1348,AHMANSON DEV
1402,BROOKFIELD BRENTWOOD LAKE LLC
1402,BROOKSFIELD BRENTWOOD LAKES LL
1402,BROOKFIELD BRENTWOOD LAKES LLC
1402,BROOKFIELD BRENTFIELD LAKE
1402,BROOKFIEDL BRENTWOOD LAKES LLC
1402,BROOKFIELD BELROSE LLC
1405,BROOKFIELD BRENTWOOD LAKES LLC
1405,BROOOKFIELD AMBRIDGE LLC
1405,BROOKFIELD BELROSE LLC
1405,BROOKFIELD AMBRIDGE LLC
1405,BROOKFIELD AMBRIDG LLC
1406,BROOKFIELD BELROSE LLC
1406,BROOKFIELD AMBRIDGE LLC
1406,BROOKFIELD CARLYLE LLC
1406,BROOKFIELD CAMBRIDGE LLC
1406,BROOKFIELD COVENTRY LLC
1406,BROOKFIELD SAVOY LLC
1411,CLASSIC/ZUCKERMAN
1411,CLASSIC/ZUCKERMAN OF PALM BEAC
1411,CLASSIC/ZUCKERMAN OF THE PALM
1411,CLASSIC-ZUCKERMAN OF THE PALM
1411,CLASSIC DESIGNER HOMES INC
1411,CLASSIC/ZUCKERMAN PALM BEACHES
1412,CLASSIC ZUCKERMAN OF TH PALM
1412,CLASSIC ZUCKERMAN OF PALM BEAC
1412,CLASSIC/ZUCKERMAN OF PALM BEAC
1412,CLASSIC/ZUCKERMAN
1412,CLASSIC/ZUCKERMAN OF THE PALM
1412,CLASSIC ZUCKERMAN OF THE PALM
1412,CLASSIC DESIGNER HOMES INC
1414,CLASSIC DESIGNER HOMES
1414,CLASSIC/ZUCKERMAN OF PALM BEAC
1414,CLASSIC DESIGNER HOMES INC
1414,CLASSIC/ZUCKERMAN OF THE PALM
1415,BROOKFIELD NORTHWEST RIDGE INC
1415,"BORISS,FLORENCE E"
1415,BROOKFIELD NORTHFIELD RIDGE IN
1415,BROOKFIEID NORTHEAST RIDGE I I
1415,BROOKFIELD NORTHERAST RIDGE I
1415,BROOKFILD NORTHEAST RIDGE
1415,BROOKFIELD NORTHEAST RIDGE INC
1415,BROOKFIELD NORTHEAST RIDGE I
1415,BROOKFIELD NORTHEAST RIDGE
1416,BROOKFIELD NORTHEAST RDG INC
1416,BROOKFIELD NORTHEAST RGE I INC
1416,BROOKFIELD NORTHEAST RIDGE
1416,BROOKFIELD NORTHEAST RIDGE I
1416,BROOKFIELD NE RIDGE I INC
1416,BROOKFIELD NORTHEAST RIDGE INC
1424,BROOKFIELD BROCCATO INC
1424,BROOKFIELD PALMIA
1424,BROOKFIELD PALMIA INC
1424,BROOKFIELD PALMA INC
1424,BROOKFEILD PALMIA INC
1424,BROOOKFIELD PALMIA INC
1424,BROOKFIELD PALERMO INC
1424,BROOKFIELD PALMERO INC
1428,AMERICAN BEAUTY INVESTMENTS CO
1428,AMERICAN BEAUTY INVESTMENT CO
1428,AMERICAN BEAUTY
1428,AMERICAN BEAUTYI
1428,AMERICAN BUEATY
1428,AMERICAN BEAUTY INV CO
1429,GRAND PREMIER TR & INVESTMENT
1429,GRAND PREMIER TR & INV NA TTEE
1429,GRAND PREMIER TR&INV TRUSTEE
1429,GRAND PREMIER TR & INV INC TTE
1429,GRAND PREMIER TRT&INV INC TTEE
1430,GRAND PREMIER TRUST & INVESTME
1430,GRAND PREMIER TR & INV TRUSTEE
1430,GRAND PREMIER TR & INVES TTEE
1430,GRAND PREMIER TR & INV INC TTE
1430,GRAND PREMIER TR & INV NA TTEE
1430,GRAND PREMIER TR & INV TTEE
1430,GRAND PREMIER TRUST & INV TTEE
1430,GRAND PREMIER TR&INVEST TTEE
1430,GRAND PREMIER TR & INVESTMENT
1430,GRAND PREMIER TRT & INV TTEE
1457,BRIGHTON STATION INVS PROPS LL
1457,BRIGHTON STATION INV PROPS LLC
1457,BRIGHTON STATION INVS PROPS
1457,BRIGHTON STATION INVESTMENT
1457,BRIGHTON STATION INV PROPERTIE
1503,ARSHAP PTN
1503,ARSHAP PARTNERHS
1503,ARSHAP
1503,ARSHAP PARTNESHI
1503,ARSHAP PARTNERSH
1513,ARCADIA CREST
1513,ARCADIA CREST PT
1513,ARCADIA CREST PTSHP
1513,ARCADIA CREST PA
1513,ARCADIA ROSE EST
1520,BRICKYARD DEV PARTNERS LP
1520,BRICKYARD DEVELOPMENT LP
1520,BRICKYARD DEVELOPMENT PTN LP
1520,BRICKYARD DEVELOPMENT PTSHP LP
